Year,Total Consumer Debt
03:Q1,7.23
03:Q2,7.38
03:Q3,7.56
03:Q4,8.07
04:Q1,8.29
04:Q2,8.46
04:Q3,8.83
04:Q4,9.04
05:Q1,9.21
05:Q2,9.49
05:Q3,9.79
05:Q4,10
06:Q1,10.38
06:Q2,10.75
06:Q3,11.11
06:Q4,11.31
07:Q1,11.5
07:Q2,11.85
07:Q3,12.13
07:Q4,12.37
08:Q1,12.54
08:Q2,12.6
08:Q3,12.68
08:Q4,12.67
09:Q1,12.53
09:Q2,12.41
09:Q3,12.28
09:Q4,12.17
10:Q1,12.12
10:Q2,11.94
10:Q3,11.84
10:Q4,11.71
11:Q1,11.75
11:Q2,11.73
11:Q3,11.66
11:Q4,11.54
12:Q1,11.44
12:Q2,11.38
12:Q3,11.31
12:Q4,11.34
13:Q1,11.23
13:Q2,11.15
13:Q3,11.28
13:Q4,11.52
14:Q1,11.65
14:Q2,11.63
14:Q3,11.71
14:Q4,11.83
15:Q1,11.85
15:Q2,11.85
15:Q3,12.07
15:Q4,12.12
16:Q1,12.25
16:Q2,12.29
16:Q3,12.35
16:Q4,12.58
17:Q1,12.73
17:Q2,12.84
17:Q3,12.96
17:Q4,13.15
18:Q1,13.21
18:Q2,13.29
18:Q3,13.51
18:Q4,13.54
19:Q1,13.67
19:Q2,13.86
19:Q3,13.95
19:Q4,14.15
20:Q1,14.3
20:Q2,14.27
20:Q3,14.35
20:Q4,14.56
21:Q1,14.64
21:Q2,14.96
21:Q3,15.24
21:Q4,15.58